website_pageview_id,created_at,website_session_id,pageview_url
1,2012-03-19 08:04:16,1,/home
2,2012-03-19 08:16:49,2,/home
3,2012-03-19 08:26:55,3,/home
4,2012-03-19 08:37:33,4,/home
5,2012-03-19 09:00:55,5,/home
6,2012-03-19 09:05:46,6,/home
7,2012-03-19 09:06:27,7,/home
8,2012-03-19 09:10:08,6,/products
9,2012-03-19 09:10:52,6,/the-original-mr-fuzzy
10,2012-03-19 09:14:02,6,/cart
11,2012-03-19 09:16:52,6,/shipping
12,2012-03-19 09:17:17,8,/home
13,2012-03-19 09:19:52,6,/billing
14,2012-03-19 09:27:56,9,/home
15,2012-03-19 09:35:37,10,/home
16,2012-03-19 09:37:42,11,/home
17,2012-03-19 09:39:57,12,/home
18,2012-03-19 09:45:29,13,/home
19,2012-03-19 09:45:47,14,/home
20,2012-03-19 09:57:14,15,/home
21,2012-03-19 10:01:35,16,/home
22,2012-03-19 10:01:46,15,/products
23,2012-03-19 10:05:34,15,/the-original-mr-fuzzy
24,2012-03-19 10:07:07,16,/products
25,2012-03-19 10:14:34,17,/home
26,2012-03-19 10:16:57,18,/home
27,2012-03-19 10:17:38,19,/home
28,2012-03-19 10:18:58,18,/products
29,2012-03-19 10:22:17,18,/the-original-mr-fuzzy
30,2012-03-19 10:22:58,20,/home
31,2012-03-19 10:23:23,18,/cart
32,2012-03-19 10:28:09,20,/products
33,2012-03-19 10:28:37,20,/the-original-mr-fuzzy
34,2012-03-19 10:31:29,20,/cart
35,2012-03-19 10:34:43,20,/shipping
36,2012-03-19 10:36:31,20,/billing
37,2012-03-19 10:42:46,20,/thank-you-for-your-order
38,2012-03-19 10:51:38,21,/home
39,2012-03-19 10:54:55,22,/home
40,2012-03-19 10:59:03,23,/home
41,2012-03-19 11:08:58,24,/home
42,2012-03-19 11:16:42,25,/home
43,2012-03-19 11:20:14,26,/home
44,2012-03-19 11:22:58,27,/home
45,2012-03-19 11:24:59,28,/home
46,2012-03-19 11:28:43,27,/products
47,2012-03-19 11:33:47,29,/home
48,2012-03-19 11:43:21,30,/home
49,2012-03-19 11:46:37,31,/home
50,2012-03-19 11:47:49,30,/products
51,2012-03-19 11:53:24,32,/home
52,2012-03-19 11:58:52,33,/home
53,2012-03-19 11:59:59,33,/products
54,2012-03-19 12:01:00,33,/the-original-mr-fuzzy
55,2012-03-19 12:01:28,34,/home
56,2012-03-19 12:02:18,35,/home
57,2012-03-19 12:03:01,34,/products
58,2012-03-19 12:06:27,34,/the-original-mr-fuzzy
59,2012-03-19 12:07:36,36,/home
60,2012-03-19 12:09:24,37,/home
61,2012-03-19 12:23:11,38,/home
62,2012-03-19 12:35:54,39,/home
63,2012-03-19 12:39:06,39,/products
64,2012-03-19 12:39:43,39,/the-original-mr-fuzzy
65,2012-03-19 12:45:10,40,/home
66,2012-03-19 12:49:41,40,/products
67,2012-03-19 12:51:04,40,/the-original-mr-fuzzy
68,2012-03-19 12:55:38,41,/home
69,2012-03-19 12:55:57,42,/home
70,2012-03-19 12:56:57,41,/products
71,2012-03-19 12:57:22,41,/the-original-mr-fuzzy
72,2012-03-19 12:57:35,43,/home
73,2012-03-19 12:59:12,42,/products
74,2012-03-19 13:01:15,42,/the-original-mr-fuzzy
75,2012-03-19 13:10:20,44,/home
76,2012-03-19 13:11:43,45,/home
77,2012-03-19 13:14:49,46,/home
78,2012-03-19 13:17:36,46,/products
79,2012-03-19 13:19:35,47,/home
80,2012-03-19 13:21:56,46,/the-original-mr-fuzzy
81,2012-03-19 13:25:17,46,/cart
82,2012-03-19 13:25:51,48,/home
83,2012-03-19 13:28:21,48,/products
84,2012-03-19 13:29:52,49,/home
85,2012-03-19 13:30:31,50,/home
86,2012-03-19 13:34:27,49,/products
87,2012-03-19 13:36:27,49,/the-original-mr-fuzzy
88,2012-03-19 13:36:54,49,/cart
89,2012-03-19 13:37:56,51,/home
90,2012-03-19 13:39:26,52,/home
91,2012-03-19 13:40:38,49,/shipping
92,2012-03-19 13:41:46,52,/products
93,2012-03-19 13:42:58,52,/the-original-mr-fuzzy
94,2012-03-19 13:43:13,49,/billing
95,2012-03-19 14:01:42,53,/home
96,2012-03-19 14:12:09,54,/home
97,2012-03-19 14:14:07,54,/products
98,2012-03-19 14:15:08,55,/home
99,2012-03-19 14:18:16,54,/the-original-mr-fuzzy
100,2012-03-19 14:20:38,56,/home
